Sub_County,Neighborhood,sq_mtrs,Bedrooms,Bathrooms,Price
Westlands,General Mathenge,4.0,4.0,4.0,155000
Dagoretti North,Kilimani,300.0,3.0,4.0,100000
Dagoretti North,"Hatheru Rd,Lavington",3.0,3.0,5.0,75000
Dagoretti North,Kilimani,227.0,3.0,4.0,135000
Embakasi,Imara Daima,3.0,3.0,,50000
Westlands,Waiyaki Way,2.0,2.0,,150000
Dagoretti North,"Off Denis Pritt, Kilimani",14.0,2.0,3.0,100000
Westlands,Westlands Area,186.0,3.0,3.0,100000
Thika Road,Thika Road,4.0,4.0,,85000
Dagoretti North,Kilimani,2.0,2.0,2.0,65000
Westlands,"Raphta rd, Rhapta Road",2.0,2.0,2.0,95000
Thindigua,Thindigua,3.0,3.0,3.0,75000
Dagoretti North,Kileleshwa,3.0,3.0,2.0,65000
Westlands,Riverside,1.0,1.0,1.0,85000
Westlands,"Riverside Drive, Riverside",3.0,3.0,3.0,220000
Westlands,Parklands,3.0,3.0,3.0,120000
Westlands,Waiyaki Way,0.0,0.0,1.0,50000
Dagoretti North,"Riara, Lavington",2.0,2.0,2.0,85000
Nyali,"nyali road, nyali road, Nyali Area",90.0,1.0,1.0,12000
Westlands,"Sports Road, Waiyaki Way",0.0,0.0,,13000
Kiambaa,"MUIRU, Ruaka",2.0,2.0,1.0,13000
Kiambaa,Ruaka,0.0,0.0,1.0,13000
Kisauni,"fisharies, mtambo bamburi road, Bamburi",1.0,1.0,1.0,13000
Kiambaa,"SHULE, Ruaka",2.0,2.0,1.0,14000
Kiambaa,Ruaka,2.0,2.0,1.0,15000
Dagoretti South,"Uthiru 87, Waiyaki Way, Uthiru/Ruthimitu",45.0,1.0,1.0,15000
Kiambu Road,Kiambu Road,0.0,0.0,1.0,15000
Roysambu,"Zimmerman, Zimmermann",2.0,2.0,1.0,15000
Kiambaa,"MUCHATHA- NATIONAL OIL, Ruaka",2.0,2.0,2.0,16000
Kasarani,Kasarani Area,1.0,1.0,1.0,16000
Dagoretti South,"Along Kikuyu Road, Uthiru/Ruthimitu",2.0,2.0,1.0,16000
Kajiado North,Ngong,1.0,1.0,1.0,16000
Kiambaa,"Kahigu Road-Ruaka, Ruaka",1.0,1.0,1.0,16000
Dagoretti North,"Kindaruma Road, Kilimani",3.0,3.0,3.0,98000
Westlands,General Mathenge,3.0,3.0,3.0,200000
Kasarani,"Seasons, Kasarani Area",1.0,1.0,1.0,16000
Kiambaa,Ruaka,1.0,1.0,,16000
Athi River,Athi River Area,1.0,1.0,,17000
Ngong,Sub zone,1.0,1.0,1.0,17000
Kiambaa,"SLAUGHTER, Ruaka",2.0,2.0,2.0,17000
Kiambaa,Ruaka,2.0,2.0,2.0,17000
Kajiado North,"Oloolua Rd, Ngong",2.0,2.0,,17000
Embakasi,Imara Daima,1.0,1.0,,17500
Kiambaa,"Ruaka-Banana, Ruaka",2.0,2.0,2.0,18000
Nyali,"Bombolulu, Mombasa malindi road, Nyali Area",1.0,1.0,1.0,18000
Kikuyu,"THOGOTO, Kikuyu Town",1.0,1.0,1.0,18000
Nyali,"Shanzu serena, Serena, Nyali Area",180.0,1.0,1.0,19000
Westlands,"Getathuru, Kitisuru",1.0,1.0,,20000
Dagoretti South,"Ndwaru, Riruta",2023.0,1.0,1.0,20000
Kasarani,"Kasarani - Mwiki Rd, Kasarani Area",2.0,2.0,,20000
Dagoretti North,Kilimani,2.0,2.0,2.0,70000
Dagoretti North,"Arwings Kodheck, Kilimani",125.0,2.0,2.0,75000
Kiambaa,"Limuru Road, Ruaka",4000.0,1.0,1.0,20000
Ruiru,"BYPASS, EASTERN BYPASS, Ruiru",2.0,2.0,2.0,20000
Kiambaa,Ruaka,1.0,1.0,1.0,20000
Nyali,"50, 3rd avenue nyali, Nyali Area",200.0,1.0,1.0,20000
Kiambaa,"RUMENYE, Ruaka",2.0,2.0,2.0,20000
Nyali,"links road, BEACH ROAD, Nyali Area",1200.0,1.0,1.0,20000
Kajiado North,Ongata Rongai,2.0,2.0,,20000
Kisumu Central,Kisumu Central Area,2.0,2.0,2.0,20000
Kikuyu,Kikuyu Town,2.0,2.0,2.0,22000
Kabete,"Gravilla Estate, Kabete Area",2.0,2.0,1.0,22000
Kajiado North,Ngong,2.0,2.0,1.0,22000
Westlands,Riverside,3.0,3.0,,280000
