Agency,Sub_County,Neighborhood,Price,link,sq_mtrs,Bedrooms,Bathrooms
Buy Rent Shelters,Westlands,General Mathenge,"KSh 155,000",/listings/4-bedroom-apartment-for-rent-general-mathenge-3468257,4,4,4
Kenya Classic Homes,Dagoretti North,Kilimani,"KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3419825,300,3,4
Absolute Estate Agents,Dagoretti North,"Hatheru Rd,Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3418990,3,3,5
A1 Properties Limited,Dagoretti North,Kilimani,"KSh 135,000",/listings/3-bedroom-apartment-for-rent-kilimani-2-3459155,227,3,4
Pmc Estates Limited,Embakasi,Imara Daima,"KSh 50,000",/listings/3-bedroom-apartment-for-rent-imara-daima-3441143,3,3,
Lizmor Properties,Westlands,Waiyaki Way,"KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-waiyaki-way-3427202,2,2,
Mambo Properties Enterprise,Dagoretti North,"Off Denis Pritt, Kilimani","KSh 100,000",/listings/2-bedroom-apartment-for-rent-kilimani-3456073,14,2,3
Wealthlink Realtors Ltd,Westlands,Westlands Area,"KSh 100,000",/listings/3-bedroom-apartment-for-rent-westlands-area-2-3452240,186,3,3
Pmc Estates Limited,Thika Road,Thika Road,"KSh 85,000",/listings/4-bedroom-apartment-for-rent-thika-road-3463559,4,4,
Naftal Properties,Dagoretti North,Kilimani,"KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3465717,2,2,2
Dakima Home International,Westlands,"Raphta rd, Rhapta Road","KSh 95,000",/listings/2-bedroom-apartment-for-rent-rhapta-road-3465099,2,2,2
Opus Properties,Thindigua,Thindigua,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-thindigua-3447542,3,3,3
Realty Plus,Dagoretti North,Kileleshwa,"KSh 65,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-2-3435223,3,3,2
Pam Golding Properties,Westlands,Riverside,"KSh 85,000",/listings/1-bedroom-apartment-for-rent-riverside-3458739,1,1,1
Yellow Market,Westlands,"Riverside Drive, Riverside","KSh 220,000",/listings/3-bedroom-apartment-for-rent-riverside-2-3458161,3,3,3
Hyra Real Estate Ltd,Westlands,Parklands,"KSh 120,000",/listings/3-bedroom-apartment-for-rent-parklands-3467575,3,3,3
Dunhill Consulting Limited,Westlands,Waiyaki Way,"KSh 50,000",/listings/studio-apartment-for-rent-waiyaki-way-3465273,0,0,1
Green Knight Properties,Dagoretti North,"Riara, Lavington","KSh 85,000",/listings/2-bedroom-apartment-for-rent-lavington-3462317,2,2,2
Kitheka Musyoka,Nyali,"nyali road, nyali road, Nyali Area","KSh 12,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3380383,90,1,1
Real Management Services 2002Limited,Westlands,"Sports Road, Waiyaki Way","KSh 13,000",/listings/studio-apartment-for-rent-waiyaki-way-3424611,0,0,
Estate Masters Limited,Kiambaa,"MUIRU, Ruaka","KSh 13,000",/listings/2-bedroom-apartment-for-rent-ruaka-3467218,2,2,1
Homekenya24,Kiambaa,Ruaka,"KSh 13,000",/listings/studio-apartment-for-rent-ruaka-3464104,0,0,1
Kitheka Musyoka,Kisauni,"fisharies, mtambo bamburi road, Bamburi","KSh 13,000",/listings/1-bedroom-apartment-for-rent-bamburi-3467461,1,1,1
Estate Masters Limited,Kiambaa,"SHULE, Ruaka","KSh 14,000",/listings/2-bedroom-apartment-for-rent-ruaka-3463746,2,2,1
Estate Masters Limited,Kiambaa,Ruaka,"KSh 15,000",/listings/2-bedroom-apartment-for-rent-ruaka-3463861,2,2,1
Habitat Realtors International Ltd,Dagoretti South,"Uthiru 87, Waiyaki Way, Uthiru/Ruthimitu","KSh 15,000",/listings/1-bedroom-apartment-for-rent-uthiru-ruthimitu-3463438,45,1,1
Royani Properties Limited,Kiambu Road,Kiambu Road,"KSh 15,000",/listings/studio-apartment-for-rent-3460554,0,0,1
Unique Casles Management Ltd,Roysambu,"Zimmerman, Zimmermann","KSh 15,000",/listings/2-bedroom-apartment-for-rent-zimmermann-3461223,2,2,1
Estate Masters Limited,Kiambaa,"MUCHATHA- NATIONAL OIL, Ruaka","KSh 16,000",/listings/2-bedroom-apartment-for-rent-ruaka-3467205,2,2,2
Wainaina Real Estate Agents,Kasarani,Kasarani Area,"KSh 16,000",/listings/1-bedroom-apartment-for-rent-kasarani-area-3415982,1,1,1
Havilaplus Estates Ltd,Dagoretti South,"Along Kikuyu Road, Uthiru/Ruthimitu","KSh 16,000",/listings/2-bedroom-apartment-for-rent-uthiru-ruthimitu-1-3444736,2,2,1
Ngong Hills Agency,Kajiado North,Ngong,"KSh 16,000",/listings/1-bedroom-apartment-for-rent-ngong-3456497,1,1,1
Estate Masters Limited,Kiambaa,"Kahigu Road-Ruaka, Ruaka","KSh 16,000",/listings/1-bedroom-apartment-for-rent-ruaka-3427657,1,1,1
Chelezo Residency,Dagoretti North,"Kindaruma Road, Kilimani","KSh 98,000",/listings/3-bedroom-apartment-for-rent-kilimani-3466790,3,3,3
Origin Homes,Westlands,General Mathenge,"KSh 200,000",/listings/furnished-3-bedroom-apartment-for-rent-general-mathenge-3462729,3,3,3
Opus Properties,Kasarani,"Seasons, Kasarani Area","KSh 16,000",/listings/1-bedroom-apartment-for-rent-kasarani-area-3404337,1,1,1
Cfs Homes,Kiambaa,Ruaka,"KSh 16,000",/listings/1-bedroom-apartment-for-rent-ruaka-3441968,1,1,
Pmc Estates Limited,Athi River,Athi River Area,"KSh 17,000",/listings/1-bedroom-apartment-for-rent-athi-river-area-3444988,1,1,
Canaan Properties,Ngong,Sub zone,"KSh 17,000",/listings/1-bedroom-apartment-for-rent-sub-zone-3464379,1,1,1
Estate Masters Limited,Kiambaa,"SLAUGHTER, Ruaka","KSh 17,000",/listings/2-bedroom-apartment-for-rent-ruaka-3467203,2,2,2
Estate Masters Limited,Kiambaa,Ruaka,"KSh 17,000",/listings/2-bedroom-apartment-for-rent-ruaka-3384067,2,2,2
Havilaplus Estates Ltd,Kajiado North,"Oloolua Rd, Ngong","KSh 17,000",/listings/2-bedroom-apartment-for-rent-ngong-1-3427703,2,2,
Unique Casles Management Ltd,Embakasi,Imara Daima,"KSh 17,500",/listings/1-bedroom-apartment-for-rent-imara-daima-2-3459107,1,1,
Estate Masters Limited,Kiambaa,"Ruaka-Banana, Ruaka","KSh 18,000",/listings/2-bedroom-apartment-for-rent-ruaka-3395165,2,2,2
Kitheka Musyoka,Nyali,"Bombolulu, Mombasa malindi road, Nyali Area","KSh 18,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3467651,1,1,1
Havilaplus Estates Ltd,Kikuyu,"THOGOTO, Kikuyu Town","KSh 18,000",/listings/1-bedroom-apartment-for-rent-kikuyu-town-1-3453671,1,1,1
Kimachas Enterprises,Nyali,"Shanzu serena, Serena, Nyali Area","KSh 19,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3463332,180,1,1
The Epic Properties,Westlands,"Getathuru, Kitisuru","KSh 20,000",/listings/1-bedroom-apartment-for-rent-kitisuru-3388870,1,1,
Westside Real Estate,Dagoretti South,"Ndwaru, Riruta","KSh 20,000",/listings/1-bedroom-apartment-for-rent-riruta-3432639,2023,1,1
Wainaina Real Estate Agents,Kasarani,"Kasarani - Mwiki Rd, Kasarani Area","KSh 20,000",/listings/2-bedroom-apartment-for-rent-kasarani-area-2-3454780,2,2,
Tysons Limited,Dagoretti North,Kilimani,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-1-3392821,2,2,2
